LAT,LONG,WAYPOINT,#Howl bouts per 30 min sample,roar bouts per hour,Anth Distance (m),Raw River Distance (m)
10.431533,-84.003677,OHS3090,1,2,132.728,132.689
10.431526,-84.003668,OHS3091,1,2,133.111,133.066
10.431544,-84.003669,OHS3092,0,0,134.140,134.104
10.431555,-84.003647,OHS3093,1,2,136.817,136.779
10.431554,-84.003638,OHS3094,0,0,136.267,137.529
10.431487,-84.003676,OHS3095,0,0,129.999,129.956
10.431494,-84.003685,OHS3096,0,0,129.605,129.551
10.431494,-84.003681,OHS3097,0,0,129.973,129.918
10.431495,-84.00368,OHS3098,1,2,130.125,130.070
10.431446,-84.004068,OHS3099,1,2,91.384,91.376
10.43140498,-84.00531599,OHS310,,0,0.609109317,0.610898782
10.431567,-84.004066,OHS3100,0,0,98.701,98.701
10.431573,-84.004091,OHS3101,1,2,96.742,96.722
10.431475,-84.003756,OHS3102,0,0,121.957,121.917
10.431495,-84.003773,OHS3103,1,2,121.642,121.647
10.431488,-84.003771,OHS3104,1,2,121.404,121.385
10.431482,-84.003779,OHS3105,0,0,120.307,120.286
10.431509,-84.00351,OHS3106,1,2,123.009,146.514
10.429341,-84.004406,OHS3107,0,0,34.460,34.485
10.42936,-84.004395,OHS3108,0,0,32.738,32.736
10.431595,-84.003335,OHS3109,0,0,116.750,162.222
10.43130096,-84.00528003,OHS311,,0,0.593165223,0.58275615
10.431109,-84.012364,OHS3110,0,0,692.911,693.034
10.431085,-84.01232,OHS3111,0,0,691.284,691.403
10.431159,-84.012349,OHS3112,0,0,687.902,688.027
10.431361,-84.012467,OHS3113,0,0,682.308,682.394
10.431361,-84.012467,OHS3114,0,0,682.308,682.394
10.431361,-84.012467,OHS3115,1,2,682.308,682.394
10.431361,-84.012467,OHS3116,0,0,682.308,682.394
10.431361,-84.012467,OHS3117,2,4,682.308,682.394
10.431361,-84.012467,OHS3118,0,0,682.308,682.394
10.430103,-84.008805,OHS3119,0,0,409.018,408.998
10.43166096,-84.00554398,OHS312,,2,1.593548481,12.57597472
10.430036,-84.008955,OHS3120,0,0,426.960,426.941
10.432583,-84.00492,OHS3121,0,0,49.596,49.566
10.432636,-84.004916,OHS3122,0,0,51.422,51.388
10.432635,-84.004913,OHS3123,0,0,51.716,51.679
10.432625,-84.004912,OHS3124,0,0,51.564,51.509
10.432625,-84.00491,OHS3125,0,0,51.776,51.721
10.432647,-84.004915,OHS3126,0,0,51.813,51.798
10.432655,-84.004917,OHS3127,0,0,51.818,51.811
10.432656,-84.004916,OHS3128,0,0,51.952,51.945
10.430225,-84.007173,OHS3129,1,2,235.944,235.985
10.431825,-84.00558597,OHS313,,0,8.668474498,9.243917339
10.429786,-84.007165,OHS3130,0,0,257.812,257.950
10.429722,-84.007171,OHS3131,1,2,262.222,262.403
10.429702,-84.007153,OHS3132,0,0,261.822,262.025
10.429686,-84.007154,OHS3133,0,0,262.913,263.125
10.432785,-84.004796,OHS3134,1,2,68.231,68.223
10.430166,-84.007151,OHS3135,1,2,236.360,236.389
10.431843,-84.004632,OHS3136,0,0,53.744,53.747
10.42543,-84.00172,OHS3137,0,0,117.993,118.002
10.425205,-84.001767,OHS3138,0,0,124.189,124.198
10.425396,-84.001972,OHS3139,1,2,145.472,145.481
10.43183497,-84.00592402,OHS314,,0,6.646049522,42.55812425
10.425826,-84.002083,OHS3140,0,0,164.743,164.752
10.426507,-84.001925,OHS3141,0,0,105.055,105.066
10.426575,-84.002009,OHS3142,0,0,104.842,104.848
10.426555,-84.001991,OHS3143,0,0,105.238,105.250
10.426515,-84.001878,OHS3144,0,0,101.441,101.452
10.426484,-84.001912,OHS3145,0,0,106.355,106.366
10.426463,-84.001932,OHS3146,0,0,109.506,109.517
10.426507,-84.001864,OHS3147,0,0,101.366,101.376
10.426508,-84.002063,OHS3148,0,0,114.323,114.331
10.426668,-84.001999,OHS3149,1,2,96.225,96.194
10.431855,-84.00600901,OHS315,,0,8.5116034,50.10402483
10.425485,-84.00363,OHS3150,0,0,291.960,292.128
10.425485,-84.00363,OHS3151,0,0,291.960,292.128
10.427223,-84.002344,OHS3152,0,0,94.129,94.201
10.427354,-84.002399,OHS3153,0,0,81.601,81.641
10.427338,-84.002352,OHS3154,0,0,85.354,85.338
10.427323,-84.002385,OHS3155,0,0,85.360,85.398
10.427317,-84.00238,OHS3156,0,0,86.187,86.222
10.427306,-84.002352,OHS3157,0,0,88.554,88.558
10.427313,-84.002334,OHS3158,1,2,88.708,88.684
10.427158,-84.002324,OHS3159,1,2,94.634,94.640
10.43184,-84.00606098,OHS316,,0,6.866880697,55.96560959
10.426226,-84.002154,OHS3160,0,0,144.961,144.972
10.426086,-84.002402,OHS3161,0,0,173.971,173.983
10.426099,-84.002149,OHS3162,0,0,156.244,156.255
10.426094,-84.0022,OHS3163,0,0,159.805,159.815
10.426093,-84.002193,OHS3164,0,0,159.463,159.474
10.426107,-84.002159,OHS3165,0,0,156.102,156.113
10.426213,-84.0023,OHS3166,0,0,156.019,156.030
10.426183,-84.002267,OHS3167,0,0,156.270,156.281
10.426176,-84.002256,OHS3168,0,0,156.126,156.138
10.426096,-84.002321,OHS3169,1,2,167.492,167.503
10.42980697,-84.00761599,OHS317,,0,57.2878119,299.6068678
10.42608,-84.002392,OHS3170,1,2,173.773,173.784
10.426061,-84.002378,OHS3171,0,0,174.421,174.432
10.431735,-84.004236,OHS3172,0,0,90.090,90.074
10.427221,-84.002319,OHS3173,0,0,91.630,91.680
10.427243,-84.002401,OHS3174,0,0,92.946,92.999
10.42728,-84.002411,OHS3175,0,0,88.723,88.784
10.427286,-84.002417,OHS3176,0,0,87.872,87.926
10.427263,-84.002393,OHS3177,0,0,91.181,91.253
10.427289,-84.00242,OHS3178,0,0,87.448,87.497
10.427299,-84.002241,OHS3179,0,0,80.773,80.848
10.42976699,-84.00756704,OHS318,,0,56.86627562,296.9410585
10.427299,-84.002241,OHS3180,0,0,80.773,80.848
10.427299,-84.002241,OHS3181,0,0,80.773,80.848
10.427299,-84.002241,OHS3182,0,0,80.773,80.848
10.438103,-84.013212,OHS3183,0,0,195.651,195.629
10.438372,-84.013562,OHS3184,0,0,157.060,157.045
10.438381,-84.013609,OHS3185,0,0,154.370,154.390
10.438383,-84.013625,OHS3186,0,0,153.563,153.592
10.438348,-84.013611,OHS3187,0,0,157.728,157.760
10.438369,-84.013608,OHS3188,0,0,155.654,155.679
10.438386,-84.013592,OHS3189,0,0,154.489,154.488
10.42630099,-84.01079399,OHS319,,0,578.6337261,803.8408487
10.438368,-84.013581,OHS3190,0,0,156.772,156.769
10.438374,-84.013582,OHS3191,1,2,156.110,156.106
10.438526,-84.013599,OHS3192,0,0,139.658,139.637
10.438647,-84.013492,OHS3193,0,0,130.430,130.466
10.438693,-84.013433,OHS3194,0,0,126.786,126.777
10.439108,-84.01298,OHS3195,1,2,100.572,100.642
10.43912,-84.01296,OHS3196,1,2,100.285,100.296
10.43916,-84.012935,OHS3197,1,2,97.325,97.374
10.439162,-84.012942,OHS3198,0,0,96.808,96.848
10.439178,-84.012963,OHS3199,0,0,94.261,94.280
10.43626397,-84.00918097,OHS320,,0,117.0533885,117.0783171
10.439186,-84.012976,OHS3200,0,0,92.882,92.894
10.431573,-84.004091,OHS3201,0,0,96.742,96.722
10.431475,-84.003756,OHS3202,0,0,121.957,121.917
10.431495,-84.003773,OHS3203,0,0,121.642,121.647
10.429891,-84.006649,OHS3204,1,2,204.853,204.976
10.429891,-84.006649,OHS3205,1,2,204.853,204.976
10.431227,-84.003748,OHS3206,0,0,107.492,107.494
10.43846,-84.014979,OHS3207,1,2,125.855,125.882
10.438458,-84.014946,OHS3208,0,0,126.130,126.139
10.438458,-84.014947,OHS3209,0,0,126.127,126.137
10.43626104,-84.009257,OHS321,,0,125.1077116,125.1200205
10.438445,-84.014959,OHS3210,0,0,127.535,127.552
10.438455,-84.01496,OHS3211,0,0,126.426,126.444
10.43627604,-84.00923604,OHS322,,0,122.426224,122.4409812
10.43637897,-84.00930603,OHS323,,0,126.3426176,126.3976644
10.43633002,-84.00932497,OHS324,,0,129.9417214,129.9318449
10.43638098,-84.0093,OHS325,,0,125.6446964,125.6997444
10.43436203,-84.008207,OHS7001,,2,118.6194603,118.6197759
10.43414603,-84.00815796,OHS7002,,0,131.2698988,131.3368532
10.43129702,-84.00456296,OHS7003,,0,0,36.66790678
10.43129702,-84.00456296,OHS7004,,0,0,36.66790678
10.43126098,-84.00460403,OHS7005,,0,4.5167553,30.73481827
10.43127196,-84.00461602,OHS7006,,0,5.792367335,30.26734936
10.43128202,-84.00460102,OHS7007,,0,4.114653849,32.25193309
10.431251,-84.00456497,OHS7008,,0,0.272040053,33.80078683
10.43120499,-84.00454704,OHS7009,,0,0,32.72071507
10.43669597,-84.00970199,OHS701,,0,136.825475,136.8348765
10.43120801,-84.00460697,OHS7010,,0,5.03741919,27.39631389
10.43080199,-84.00406198,OHS7011,,0,0.832893265,52.74742012
