lat,lon,GPS waypoint for howl,Anth Distance (Perimeter + Camp),Raw River Distance,Length of howl bout in seconds,Howl number in bout,Howl number/minute
10.43366097,-84.007848,OHH7119,151.0232233,151.0025999,99,7,5940
10.433781,-84.007733,OHH7120,132.8113273,132.8143081,124,5,7440
10.43371403,-84.00780399,OHH7121,143.4274801,143.4083296,467,3,28020
10.43368603,-84.007819,OHH7123,146.888457,146.8739003,57,5,3420
10.43149601,-84.00368202,OHH7124,0,129.9457262,145,7,8700
10.43459203,-84.00836801,OHH7125,112.0338597,112.120791,53,5,3180
10.43468398,-84.00856499,OHH7126,118.4743513,118.5911008,253,9,15180
10.43008097,-84.00466396,OHH7127,0.794440119,14.40829256,156,2,9360
10.43388401,-84.00805897,OHH7129,146.5353356,146.5919486,36,2,2160
10.433867,-84.00800499,OHH7130,144.200458,144.2035578,55,4,3300
10.43383699,-84.00796803,OHH7131,144.1904444,144.2184175,510,14,30600
10.43305102,-84.00684804,OHH7133,100.213333,100.2163011,287,9,17220
10.43298698,-84.00685097,OHH7134,100.706565,100.686996,185,7,11100
10.42648899,-84.00147197,OHH7135,86.11939104,86.26155473,654,15,39240
10.42651598,-84.00150801,OHH7138,84.48735472,84.73014572,324,14,19440
10.42648396,-84.00145797,OHH7139,86.2290238,86.34587725,748,39,44880
10.42646301,-84.00143903,OHH7140,87.93089958,87.99295964,34,3,2040
10.42727496,-84.00204797,OHH7141,61.75333093,61.75928182,302,18,18120
10.42726901,-84.00205602,OHH7142,62.81263812,62.81809474,172,12,10320
10.427209,-84.00213104,OHH7143,72.85721657,72.86190709,1169,14,70140
10.427109,-84.00235098,OHH7144,99.32832828,99.32556854,59,3,3540
10.42725996,-84.00237202,OHH7147,92.34521304,92.40194264,35,3,2100
10.42727396,-84.00237202,OHH7148,90.91384357,90.96300602,171,9,10260
10.42718,-84.00208997,OHH7149,69.83386492,69.85719042,37,2,2220
10.42724404,-84.002095,OHH7150,67.78919215,67.79531522,28,2,1680
10.427166,-84.00154699,OHH7151,22.13056662,22.13116793,58,2,3480
10.42625698,-84.00114197,OHH7152,91.32346136,91.33401875,3,1,180
10.42975701,-84.00811102,OHH7153,105.8180043,350.9160692,228,13,13680
10.434054,-84.00808596,OHH7154,133.9736495,134.0141177,751,45,45060
10.43395601,-84.00803098,OHH7156,138.4626995,138.525768,969,31,58140
10.43396699,-84.00809099,OHH7159,141.7226417,141.7565632,15,2,900
10.43129099,-84.00458098,OHH7160,1.889631691,34.6395603,3,1,180
10.43131001,-84.00463698,OHH7161,7.958448371,30.55899383,23,2,1380
10.43289101,-84.00467704,OHH7162,83.71754599,83.69744276,3428,103,205680
10.432774,-84.00485096,OHH7168,62.09250185,62.0813739,358,5,21480
